ID,Title,Status,StoredLat,StoredLng,GoogleLat,GoogleLng,DistanceMeters
"0a9d081a-0268-450b-8f06-957df4fd2232","Zupa Zupa",NOT_FOUND,50.0558071,19.9417464,,,
"707381fe-2f45-496c-a068-7932cef9c2c6","Fiu Fiu Bistro",NOT_FOUND,50.067231,19.9409868,,,
"40cff9c7-dd86-476a-bc45-d6bdfe89d06c","Restauracja Filipa 18 Food Wine Art",NOT_FOUND,50.0677042,19.9420497,,,
"72969870-d125-4d2e-9d96-cf2422ca1f83","Finca Specialty Coffee & Breakfast",NOT_FOUND,50.0586607,19.944803,,,
"e69ef8cd-9187-4d8a-abd3-db2983b004bf","Gospoda Domowa",NOT_FOUND,50.0596,19.9386,,,
"705399af-2dc6-4ddf-860e-a5fa55f83292","Fokarnia",NOT_FOUND,50.067426,19.9409574,,,
"e5d0f2fa-d9b9-42aa-b2ed-3c48c21ebfc0","Pod Wawelem",NOT_FOUND,50.0572,19.9374,,,
"3622cb96-98f2-4d66-b6c5-4184b8d52b3f","Café Bunker",NOT_FOUND,50.0635302,19.934219,,,
"89fd8ad2-1e51-4e00-868d-d67d6d52e757","Kawiarnia Fornir",NOT_FOUND,50.0671841,19.9385511,,,
"992a155b-0594-4df9-be78-cc6b642c3568","KRUSZ",NOT_FOUND,50.0665964,19.9410399,,,
"55ff57e7-eb1b-425d-a8a9-3675d31c8d1b","Osteria Da Paulina",NOT_FOUND,50.0613,19.9362,,,
"5c907a38-6e8c-4e51-a0fb-32183c9f8025","Krakow Street Food",NOT_FOUND,50.0632984,19.928732,,,
"a64ceaeb-e910-413e-bdad-5271e59d0e03","Tapas Bar",NOT_FOUND,50.0680572,19.9409179,,,
"bf62a375-feaf-4f8d-b214-982b5471a056","Kuchnia Staropolska",NOT_FOUND,50.0614,19.9393,,,
"6b998d11-f898-41ed-8785-b7ec13ebe711","Ramen Shop",NOT_FOUND,50.0617,19.9375,,,
"4c131c3c-8319-4153-8322-a56bfe48cbe4","Kieliszki na Próżnej",NOT_FOUND,52.2365161,21.0046383,,,
"fa33eb64-7296-4f99-bd09-215c74c68bf3","Aura | Kawiarnia",NOT_FOUND,50.0668783,19.9407591,,,
"e66f498f-7897-43e4-8aeb-eb8c2339746d","Bar Mleczny Familijny",NOT_FOUND,50.0632,19.9402,,,
"1d816edf-b4a4-4bc8-9664-a8354fd61d0f","Empanaderia Kraków",NOT_FOUND,50.067185,19.9522337,,,
"a9a22008-ced6-44f6-82e5-8c1312472e98","Polakowski",NOT_FOUND,50.06148,19.941454,,,
"600a1005-1e33-4b35-a257-b20893d25618","Padre Coffee",NOT_FOUND,50.0597,19.9423,,,
"2091d291-7c14-44ce-8429-d19d19fdfa15","Relaks",NOT_FOUND,50.0562,19.9432,,,
"420f063c-b1c4-413d-97b7-b2eadb64f84d","Aperitivo Bar",NOT_FOUND,50.0619,19.9371,,,
"bf510d1a-dfa1-4ae9-bdfd-33f92fb6fa16","Wesoła Cafe",NOT_FOUND,50.0668045,19.9521341,,,
"a6c49851-a830-4612-baee-841462a75abd","Browar Lubicz",NOT_FOUND,50.065,19.9468,,,
"d818ec83-ab43-474b-9965-1d9570164ada","Restauracja Karczma Lwowska",NOT_FOUND,52.2328,21.0102,,,
"198fde31-2086-46d3-ab4f-ff4c48c4f7ed","Be free - Bakery & breakfast & bistro",NOT_FOUND,50.0662039,19.952763,,,
"187ee2ed-dfb4-4f22-b4bf-05ec8eb0cf13","Kawiarnia Krzysztofory",NOT_FOUND,50.062,19.9353,,,
"79ec0b8d-f423-4daa-8aae-783e5db51987","Puenta",NOT_FOUND,52.2273,21.0138,,,
"97448cc4-273f-437e-9790-ea60b3e537e6","Mañana",NOT_FOUND,50.0660583,19.9507742,,,
"59767781-5c57-4ed3-b776-61e0fdc14d39","Pasibus",NOT_FOUND,52.2305,21.0119,,,
"467cdd98-aa6a-4f21-9370-115a39ae9448","Pyzy Flaki Gorące",NOT_FOUND,52.2521,21.0005,,,
"e3c5e11a-4c18-4c84-ba74-f4a499e23983","Urban Coffee",NOT_FOUND,50.0483622,19.9445277,,,
"f74fa5c0-fa4d-4016-b654-caa094e6b688","Urban Ceramics",NOT_FOUND,50.0639937,19.9278532,,,
"46848c23-f12b-4e27-803d-8494d0e6d730","Pimiento Resto&Bar",NOT_FOUND,50.0598237,19.9387053,,,
"569f4594-8fe9-48c2-bfe5-d0df2ff2a60c","Vegab",NOT_FOUND,50.0583333,19.9436111,,,
"027fb412-c2d5-4320-93d7-326ee1218181","Café Guarana",NOT_FOUND,51.7703,19.4578,,,
"88f1277f-9e80-43a0-b8e6-3cb1df138b99","Stary Kleparz Market",NOT_FOUND,50.0672,19.9393,,,
"8abe8d12-f282-42c9-ab11-416c90dfb767","Megiddo Cafe & Bakery",NOT_FOUND,50.0517211,19.9464619,,,
"8448f727-f8a1-4920-8ef3-c54bf8e6d0ed","Coffee Corner Kraków",NOT_FOUND,50.0625,19.9398,,,
"a7e0a050-0c9b-4cdd-93f9-0ff6715adb14","Singer Cafe",NOT_FOUND,50.054,19.945,,,
"744c5e11-c2f1-42e3-a3df-ed9355a222aa","Bonbon Boutique",NOT_FOUND,50.0468308,19.9508223,,,
"12df8a98-4373-47e7-8a2a-9cba7a136ab6","Urban Coffee Kalwaryjska",NOT_FOUND,50.0373264,19.9405207,,,
"15197f53-92f1-4cc4-9441-875ff5132840","Restauracja Smak Ukraiński",NOT_FOUND,50.0587889,19.9377111,,,
"e0be555a-7878-4a15-952a-c91fd07ca616","Lumo Cafe Bar",NOT_FOUND,50.0575768,19.9283452,,,
"1a0449a6-7b86-4ec8-a6db-dde7c1ceaa99","Bistro Różana",NOT_FOUND,50.0598,19.9357,,,
"a6d25825-5e11-4df4-823c-9d1fd5919c64","CK Browar",NOT_FOUND,50.0607,19.9381,,,
"ea2c48e8-2492-46f7-95af-07e9fa1bef7f","Boby Specialty Coffee & Matcha",NOT_FOUND,50.048229,19.9283538,,,
"37d1a3e9-1b9e-4428-a95f-056d3c3cecb1","Karma Coffee Roastery",NOT_FOUND,50.049519,19.9457297,,,
"bce90bae-e3f9-4e2e-beb1-5cb29253cfef","Dawne Smaki",NOT_FOUND,50.0617,19.9381,,,
"55ea1a7b-5570-4ee2-a82c-fc72565ec6e5","Krakowski Kredens",NOT_FOUND,50.0617,19.9374,,,
"af27e2ff-7855-4dfa-9645-5a07175eee5a","Patio Cafe",NOT_FOUND,50.0619,19.9381,,,
"a269eb18-46bf-4f2a-a7b6-0af04bfcf6cb","Bun Bakery",NOT_FOUND,50.063753,19.927975,,,
"6edf5129-cd9f-4818-a47d-657377e5257a","Złoty Pies",NOT_FOUND,51.1102,17.0335,,,
"86d2fa2d-3cfe-4cb2-b6df-387993463492","Urban Coffee Plac Wolnica",NOT_FOUND,50.048363,19.9444637,,,
"9918de8a-2ab7-4b05-ae78-bd68895e0eb1","Restauracja Gdańska",NOT_FOUND,54.3522,18.6466,,,
"9165826f-25fe-4d76-96d4-31a5932d78da","Winniza Wine Bar",NOT_FOUND,54.3519,18.6461,,,
"ce1682f4-ac4f-437e-8064-d22beb55f0cb","Charlotte Chleb i Wino",NOT_FOUND,50.063454,19.9350829,,,
"75b9b9e6-6949-432c-9fe0-12be8adf7238","Strudel Cafe",NOT_FOUND,50.0618,19.9388,,,
"8f2431ec-68d7-418c-9ae2-517b7f90a3e7","Boccanera",NOT_FOUND,50.0616,19.9362,,,
"239082bc-d72d-4e60-a550-f3b153be7533","Café Vis-à-Vis",NOT_FOUND,50.0617,19.9381,,,
"f0897c02-ee03-4b35-bd93-d2c9bd23d58a","Do Środka",NOT_FOUND,50.0548,19.9442,,,
"54e22eee-0ee1-4fab-bf93-234e55840e4f","Bimber i Wędliny",NOT_FOUND,51.1097,17.033,,,
"eb3507f4-c282-4746-bb88-d4ca7e56e78b","Restauracja Pod Baranem",NOT_FOUND,50.0548212,19.9401237,,,
